entity_addr,entity_total_trans_fulton_all_yr,pct_entity_total_trans_fulton_all_yr
0 PO BOX 2465 30084,1.0,0.0008806460419363645
0 PO BOX 2465 30085,10.0,0.008806460419363645
0 PO BOX 248 30528,1.0,0.0008806460419363645
0 PO BOX 2488 30237,1.0,0.0008806460419363645
0 PO BOX 250022 30325,1.0,0.0008806460419363645
0 PO BOX 250045 30325,1.0,0.0008806460419363645
0 PO BOX 250069 30325,1.0,0.0008806460419363645
0 PO BOX 2503 30269,1.0,0.0008806460419363645
0 PO BOX 250331 30325,1.0,0.0008806460419363645
0 PO BOX 250505 30325,3.0,0.0026419381258090935
0 PO BOX 250568 30325,2.0,0.001761292083872729
0 PO BOX 250592 30325,1.0,0.0008806460419363645
0 PO BOX 2507 30031,22.0,0.01937421292260002
0 PO BOX 2518 30281,1.0,0.0008806460419363645
0 PO BOX 2543 90274,1.0,0.0008806460419363645
0 PO BOX 25430 97298,1.0,0.0008806460419363645
0 PO BOX 255 30086,9.0,0.00792581437742728
0 PO BOX 255 30273,2.0,0.001761292083872729
0 PO BOX 2561 30102,1.0,0.0008806460419363645
0 PO BOX 2586 30031,1.0,0.0008806460419363645
0 PO BOX 26 30056,1.0,0.0008806460419363645
0 PO BOX 2638 30081,2.0,0.001761292083872729
0 PO BOX 2641 30281,1.0,0.0008806460419363645
0 PO BOX 2659 30015,1.0,0.0008806460419363645
0 PO BOX 2674 30096,1.0,0.0008806460419363645
0 PO BOX 268 30291,3.0,0.0026419381258090935
0 PO BOX 2733 30085,1.0,0.0008806460419363645
0 PO BOX 275 28390,3.0,0.0026419381258090935
0 PO BOX 27740 89126,2.0,0.001761292083872729
0 PO BOX 27740 89147,1.0,0.0008806460419363645
0 PO BOX 28113 2908,2.0,0.001761292083872729
0 PO BOX 28436 31221,4.0,0.003522584167745458
0 PO BOX 2869 83001,1.0,0.0008806460419363645
0 PO BOX 28986 30358,1.0,0.0008806460419363645
0 PO BOX 29009 ,3.0,0.0026419381258090935
0 PO BOX 29161 30359,1.0,0.0008806460419363645
0 PO BOX 2932 22202,1.0,0.0008806460419363645
0 PO BOX 2939 97201,1.0,0.0008806460419363645
0 PO BOX 2941 30269,6.0,0.005283876251618187
0 PO BOX 29593 30359,3.0,0.0026419381258090935
0 PO BOX 298 30179,3.0,0.0026419381258090935
0 PO BOX 29831 30359,1.0,0.0008806460419363645
0 PO BOX 2984 92352,1.0,0.0008806460419363645
0 PO BOX 3003 30253,1.0,0.0008806460419363645
0 PO BOX 30444 10303,2.0,0.001761292083872729
0 PO BOX 3055 30052,2.0,0.001761292083872729
0 PO BOX 307 30112,1.0,0.0008806460419363645
0 PO BOX 307 31816,1.0,0.0008806460419363645
0 PO BOX 309 30272,1.0,0.0008806460419363645
0 PO BOX 3099 30096,2.0,0.001761292083872729
0 PO BOX 310 30180,1.0,0.0008806460419363645
0 PO BOX 310324 31131,1.0,0.0008806460419363645
0 PO BOX 310502 31131,1.0,0.0008806460419363645
0 PO BOX 31051 31561,1.0,0.0008806460419363645
0 PO BOX 310543 31131,1.0,0.0008806460419363645
0 PO BOX 310562 31131,1.0,0.0008806460419363645
0 PO BOX 310582 31131,1.0,0.0008806460419363645
0 PO BOX 31073 31410,2.0,0.001761292083872729
0 PO BOX 310835 30331,1.0,0.0008806460419363645
0 PO BOX 310900 31131,2.0,0.001761292083872729
0 PO BOX 311031 31131,1.0,0.0008806460419363645
0 PO BOX 31106,2.0,0.001761292083872729
0 PO BOX 311278 31131,4.0,0.003522584167745458
0 PO BOX 311311 31131,1.0,0.0008806460419363645
0 PO BOX 311408 31131,1.0,0.0008806460419363645
0 PO BOX 311436 31131,1.0,0.0008806460419363645
0 PO BOX 311494 31131,1.0,0.0008806460419363645
0 PO BOX 311607 31131,4.0,0.003522584167745458
0 PO BOX 311616 31131,1.0,0.0008806460419363645
0 PO BOX 311692 31131,2.0,0.001761292083872729
0 PO BOX 311727 31131,1.0,0.0008806460419363645
0 PO BOX 311760 31131,1.0,0.0008806460419363645
0 PO BOX 311827 31131,1.0,0.0008806460419363645
0 PO BOX 311883 31131,1.0,0.0008806460419363645
0 PO BOX 311885 31131,1.0,0.0008806460419363645
0 PO BOX 312 30024,3.0,0.0026419381258090935
0 PO BOX 312086 31131,1.0,0.0008806460419363645
0 PO BOX 31210 31561,2.0,0.001761292083872729
0 PO BOX 312116 31131,1.0,0.0008806460419363645
0 PO BOX 3132 30030,1.0,0.0008806460419363645
0 PO BOX 3146 31401,1.0,0.0008806460419363645
0 PO BOX 3150 30031,3.0,0.0026419381258090935
0 PO BOX 316 30072,1.0,0.0008806460419363645
0 PO BOX 3169 30032,1.0,0.0008806460419363645
0 PO BOX 318 30101,2.0,0.001761292083872729
0 PO BOX 3192 30028,1.0,0.0008806460419363645
0 PO BOX 32 30177,1.0,0.0008806460419363645
0 PO BOX 3204 30302,1.0,0.0008806460419363645
0 PO BOX 3206 30023,1.0,0.0008806460419363645
0 PO BOX 3248 30120,1.0,0.0008806460419363645
